Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
70,C Chase Elliott BK,464.4250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Chase Elliott Backup,,,,
71,C Ty Dillon BK,462.9625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Ty Dillon Backup,,,,
72,C Denny Hamlin BK,462.4250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Denny Hamlin Backup,,,,
73,C Ryan Blaney BK,464.9250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Ryan Blaney Backup,,,,
74,C AJ Allmendinger BK,462.7500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series AJ Allmendinger Backup,,,,
75,C Chris Buescher BK,462.2000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Chris Buescher Backup,,,,
76,C Chase Briscoe BK,462.2750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Chase Briscoe Backup,,,,
77,C Christopher Bell BK,462.4750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Christopher Bell Backup,,,,
78,C Josh Berry BK,463.0375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Josh Berry Backup,,,,
79,C Joey Logano BK,469.1500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Joey Logano Backup,,,,
80,C Bubba Wallace BK,451.1250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Bubba Wallace Backup,,,,
81,C William Byron BK,456.8875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series William Byron Backup,,,,
82,C Todd Gilliland BK,463.3000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Todd Gilliland Backup,,,,
83,C Riley Herbst BK,461.1500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Riley Herbst Backup,,,,
84,C Chandler Smith BK,467.9250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Chandler Smith Backup,,,,
